FullName,FirstName,LastName,Gender,Status,Region,Ethnicity,Occupation_primary,MaritalStatus,Spouse_FirstName,Spouse_Last Name,Spouse_Gender,Spouse_RaceEthnicity,Spouse_Birthday,Spouse_Age,Spouse_Occupation,Street,City,State,ZipCode,Religion_Christian,Religion_Muslim,Religion_Jewish,Religion_Hindu,Religion_Buddhist,Religion_Other,Religion_Spiritual,Religion_None,RoleofFaith_primary,RoleofFaith_spouse,Alcohol_Occasional,Alcohol_Responsible,Alcohol_Irresponsible,DrugUse,Marijuana_Occasional,Marijuana_Regular,Cigarettes_Occasional,Cigarettes_Regular,Vaping_Occasional,Vaping_Regular,JobRetentionChallenges,DayOff_primary,DayOff_spouse,FavoritPlace_primary,FavoritePlace_spouse,Personality_primary,Personality_spouse,SocialStyle_Introverted,SocialStyle_Extraverted,SocialStyle_Both,SadnessResponse_primary,SadnessResponse_spouse,AngerResponse_primary,Anger Response_spouse,Continuing Education,Supports_Holidays,Supports_Job,Supports_Parenting,Supports_Medical,Supports_Legal,Supports_Budgeting,Supports_MentalHealth,Supports_Resources,Supports_Social,Multiple_Matches,Match_Housing,Emergency_Housing,CriminalHistory_Arrested,CriminalHistory_Jail,CriminalHistory_CurrentProbation,Children_Pregnant,Children_Custody1,Children_Custodymultiple,Children_Kincare1,Children_Kincaremultiple,Children_Welfare1,Children_Welfaremultiple,Bio_Important,Bio_Difficult,Sexuality_Heterosexual,Sexuality_Homosexual,Sexuality_Bisexual,Gender_Male,Gender_Female,Gender_Transgender,Gender_Non_binary,Latitude ,Logatitude
Aaron Brantley,Aaron,Brantley,Male,Interested,5,,Vending machine repairer,Single,,,,,,,,245 College Ave,Elberton,Georgia,30635,5,5,5,5,5,5,5,5,Unimportant,,5,5,5,5,5,5,5,5,5,5,5,Movie/Play,,New,,Reserved,,5,5,5,Alone,,Process,,5,5,5,5,5,5,5,5,5,5,checked,checked,checked,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,34.116912,-82.874767
Alex & Tracey Hodge,Tracey,Hodge,Female,Completed Training,7,,Industrial designer,Married,Alex,,Male,White,11/25/1992,29,PBX operator,2571 Central Ave,Augusta,Georgia,30904,5,3,3,0,5,4,2,4,Exclusive,Inclusive,5,5,0,0,3,0,4,1,3,5,0,Friends/Family,Read/Walk,Nature,Pampered,Friendly,Friendly,5,3,3,Advice,Advice,Reconcile,Reconcile,0,5,5,5,5,5,4,1,5,5,checked,,,3,1,0,4,0,3,0,5,3,2,1,4,5,3,4,4,4,2,3,33.471234,-82.027644
Alice Keeney,Alice,Keeney,Female,Interested,6,,Administrative director,,,,,,,,,1113 Washington St,Perry,Georgia,31069,5,4,3,4,4,5,4,2,Unimportant,,5,1,2,5,5,4,4,1,3,5,2,Movie/Play,,Nature,,Shy,,0,3,3,Advice,,React,,5,4,4,5,1,5,4,5,5,0,,checked,,2,2,1,4,1,3,1,2,1,5,2,3,5,4,5,1,5,3,5,32.460434,-83.733486
Alice Lefebvre,Alice,Lefebvre,Female,OOS,13,,Sewer pipe cleaner,Single,,,,,,,,2730 Peachtree Industrial Blvd #108,Duluth,Georgia,30097,5,3,4,4,5,3,3,0,Inclusive,,5,5,3,3,4,0,4,5,4,4,4,Home,,Pampered,,Shy,,3,3,1,Advice,,Reconcile,,5,4,5,4,5,4,4,5,4,5,checked,,,0,3,0,5,5,0,1,1,3,2,2,5,5,4,4,1,1,5,5,34.022499,-84.14372
Alice Sanford,Alice,Sanford,Female,Awaiting Training,7,,Digital electronic prepress worker,Single,,,,,,,,3118 William Few Pkwy #2,Evans,Georgia,30809,5,5,3,0,4,5,2,1,Exclusive,,5,4,2,0,5,5,4,5,3,4,3,Friends/Family,,Pampered,,Adventurous,,4,1,3,Alone,,Reconcile,,4,4,4,4,4,4,4,5,4,4,,checked,,4,4,1,5,3,3,0,1,0,5,5,2,5,4,0,4,5,3,4,33.573771,-82.192053
Alicia Johnston,Alicia,Johnston,Female,Awaiting Training,14,,Dispatcher,,,,,,,,,2316 Main St Suite A,Tucker,Georgia,30084,5,5,3,5,3,0,3,4,Unimportant,,5,4,4,0,1,2,5,1,0,4,4,Shop,,Pampered,,Reserved,,4,3,3,Alone,,Process,,3,4,5,4,5,5,5,4,4,5,checked,,checked,0,1,0,4,4,5,2,3,2,4,2,3,5,4,5,1,4,2,4,33.852666,-84.214499
Allan & Lois McCune,Lois,McCune,Female,Awaiting Training,13,,Central office operator,Married,Allan,,,,11/1/1965,56,"Dredge, excavating, and loading machine operator",3651 Peachtree Pkwy,Suwanee,Georgia,30024,5,4,4,5,4,4,5,5,Inclusive,Exclusive,5,4,3,0,3,4,2,0,1,2,3,Home,Friends/Family,Pampered,Nature,Friendly,Shy,2,3,3,Listen,Listen,Process,React,5,5,4,5,4,1,4,4,5,5,checked,,checked,3,4,1,3,4,5,4,3,3,3,5,4,5,5,4,5,5,5,2,34.069741,-84.166965
Allan Marquez & Jennifer Garcia,Allan,Marquez,Male,Not Moving Forward,13,,Financial planner,Married,Jennifer,Garcia,,,11/15/1971,50,Smoke jumper,1467 Patterson Street,Lawrenceville,Georgia,30043,5,1,1,4,2,1,4,3,Inclusive,Exclusive,3,5,2,1,5,3,3,5,5,3,4,Home,Friends/Family,Event,New,Shy,Friendly,5,3,4,Advice,Listen,React,Reconcile,4,4,4,4,5,4,5,2,5,4,checked,,checked,1,0,2,3,0,3,3,2,2,1,5,3,5,5,4,0,3,1,1,,
Allen & Brenda Hardy,Allen,Hardy,Male,OOS,7,,Web writer,Married,Brenda,,,,2/3/1976,45,Agricultural laborer,5159 Columbia Rd,Grovetown,Georgia,30813,5,5,5,4,5,0,3,5,Exclusive,Unimportant,5,5,5,1,3,5,4,4,5,4,5,Shop,Shop,Nature,Pampered,Solitary,Solitary,5,4,5,Advice,Listen,Reconcile,Withdraw,4,4,1,5,5,1,4,4,5,5,,,,0,1,4,4,4,0,5,1,0,4,0,4,5,5,0,5,2,3,5,33.509227,-82.200952
Alton & Henrietta Pereira,Henrietta,Pereira,Female,Interested,2,,Apartment manager,Married,Alton,,,,7/28/1991,30,Unlicensed assistive personnel,655 Atlanta Rd #607,Cumming,Georgia,30040,5,5,4,2,5,1,5,3,Exclusive,Unimportant,5,5,0,5,5,1,5,3,4,3,0,Home,Shop,Pampered,Pampered,Adventurous,Reserved,3,4,5,Listen,Listen,Reconcile,Withdraw,3,5,4,5,4,5,4,4,5,5,,checked,checked,4,5,5,4,4,4,5,1,4,1,3,0,5,5,0,5,0,4,2,34.188972,-84.144338
