FullName,FirstName,LastName,Street,City,State,ZipCode,Region,Birthday,Age,Race_Ethnicity,Religion,RoleofFaith,AlcoholUse,DrugUse,Smoking,JobRetentionChallenges,DayOff,FavoritePlace,Personality,SocialStyle,SadnessResponse,AngerResponse,EducationLevel,ContinuingEducation,SupportNeeds,LivingSituation,CriminalHistory,Children,Connections,BioRelationships,Sexuality,Gender,BiologicalGender,Latitude ,Logatitude
Aaron Diggs,Aaron,Diggs,4401 Hwy. 17,Richmond Hill,Georgia,31324,12,,,,,,,,,,,,,,,,,,,,,,,,,,Male,31.9381,-81.3136
Albert Brown,Albert,Brown,2803 N Columbia St,Milledgeville,Georgia,31061,6,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.0878,-83.2333
Albert Metz,Albert,Metz,3999 Austell Rd SW #915,Austell,Georgia,30106,13,5/31/1993,28,Black/African American,Other,Unimportant,Irresponsibly,Occasionally,None,checked,Home,Nature,Friendly,Introverted,Self_Reliant,Process,"GED in progress,Vocational/trade school applying",,"Social,Job,Holidays,Medical,Parenting,Mental Health,Budgeting",Program,None,None,,Difficult,Homosexual,Other,Male,33.8132,-84.6347
Alfred Farwell,Alfred,Farwell,1884 N Columbia St,Milledgeville,Georgia,31061,6,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.0878,-83.2333
Alicia Gilfillan,Alicia,Gilfillan,4639 Lawrenceville Rd,Loganville,Georgia,30052,5,12/31/1992,29,,Islam,Unimportant,Responsibly,Addicted,"Occasional marijuana,Regular cigarettes",checked,Friends/Family,Nature,Reserved,Extraverted,Advice,Withdraw,"GED completed,Vocational/trade school attending",,"Parenting,Budgeting,Mental Health,Social,Medical",Couch_Hopping,None,None,,None,Homosexual,Other,Female,33.8389,-83.8981
Alisha Bouffard,Alisha,Bouffard,3770 Southside Dr,Acworth,Georgia,30101,13,3/12/1993,28,Black/African American,Spiritual,Exclusive,Responsibly,Regularly,"Occasional marijuana,Regular cigarettes,Occasional vape",,Movie/Play,New,Solitary,Extraverted,Advice,React,None,checked,Holidays,Homeless,None,None,,Important,Homosexual,Female,Other,34.0628,-84.67
Amber Lenz,Amber,Lenz,2625 Old Winder Hwy,Braselton,Georgia,30517,13,12/16/1992,29,Black/African American,Spiritual,Unimportant,Occasionally,Regularly,None,checked,Movie/Play,Pampered,Adventurous,Both,Self_Reliant,Process,"GED completed,College degree",,"Mental Health,Holidays,Job,Parenting",Friend/Family,Current Probation,"Caring for multiple,1 in kincare",,Difficult,Bisexual,Female,Female,34.107,-83.7624
Anita Soliz,Anita,Soliz,931 N Church St,Thomaston,Georgia,30286,4,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.8872,-84.3262
Ann Clem,Ann,Clem,199 Prince Ave,Athens,Georgia,30601,5,11/4/1992,29,Black/African American,Other,Unimportant,Occasionally,None,s,,Read/Walk,Event,Adventurous,Extraverted,Listen,Process,None,,"Legal,Social,Mental Health",Program,None,None,,None,Homosexual,Other,Male,33.95,-83.3833
Ann Davis,Ann,Davis,16 River St,Ellijay,Georgia,30540,1,7/25/1993,28,,Buddhism,Inclusive,Addicted,None,"Occasional marijuana,Regular cigarettes,Occasional vape",checked,Shop,New,Solitary,Introverted,Self_Reliant,Reconcile,GED in progress,,"Medical,Job,Resources",Friend/Family,None,None,,Difficult,Bisexual,Other,Male,34.6947,-84.4836
Anna Samples,Anna,Samples,8471 Hospital Dr,Douglasville,Georgia,30134,3,11/2/1992,29,,Spiritual,Exclusive,None,None,None,,Movie/Play,Event,Reserved,Introverted,Self_Reliant,Withdraw,"GED in progress,College degree",,"Medical,Resources",Independent,None,None,,None,Heterosexual,Other,Female,33.7522,-84.7407
Anthony Schreiber,Anthony,Schreiber,11 E 41st St,Savannah,Georgia,31401,12,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.0167,-81.1167
Antonio Curl,Antonio,Curl,5001 Brookhaven Rd,Macon,Georgia,31206,6,7/23/1993,28,,None,Inclusive,None,Regularly,None,,Movie/Play,Nature,Shy,Introverted,Listen,React,"HS diploma in progress,College degree",,"Social,Resources,Medical,Job,Budgeting",Couch_Hopping,None,"Caring for multiple,1 in kincare",,Important,Bisexual,Female,Female,32.8381,-83.6705
Ashley Coleman,Ashley,Coleman,34 3rd St,Jackson,Georgia,30233,4,5/31/1993,28,Black/African American,Other,Unimportant,Responsibly,Occasionally,None,,Read/Walk,None,Friendly,Both,Advice,React,None,checked,"Holidays,Parenting",Homeless,None,None,,Important,Heterosexual,Female,Other,33.2936,-83.9625
